# neuroc1 3/9/2022 2:40 PM
time Delta Theta Alpha1 Alpha2 Beta1 Beta2 Gamma1 Gamma2 Attention Meditation Derived totPwr  class 
# LogStarts: HEAD_SET 3/9/2022 -- 2:40 PM: obs 0
# StartBaseline:  3/9/2022 -- 2:40 PM: obs 0
72 80.0 258619 25842 9253 7496 9423 3681 1110 946 53 64 NA 316370  X*
73 81.0 94474 101973 13674 20996 7733 7018 3434 1148 48 51 NA 250450  X*
74 82.0 9397 14333 14079 12757 10963 5884 4808 3242 40 57 NA 75463  X*
75 83.0 8316 11601 12835 22212 13538 7387 2095 1834 41 56 NA 79818  X*
76 84.0 249419 30732 15797 13261 13169 9283 1657 2622 48 60 NA 335940  X*
77 85.0 1254452 53789 5799 12770 5610 3371 1625 634 48 60 NA 1338050  X*
78 86.0 7437 17106 1406 5350 1647 3182 850 1182 48 48 NA 38160  X*
79 87.0 377818 115105 33435 10914 7128 9950 5464 6683 38 34 NA 566497  X*
80 88.0 13881 29188 2077 21716 7118 9216 5034 3855 40 30 NA 92085  X*
81 89.0 57718 18842 35012 16625 7944 6863 4567 4080 48 50 NA 151651  X*
82 90.0 343679 25863 16152 36290 7620 3084 6388 3306 35 66 NA 442382  X*
83 91.0 41462 13989 25417 6797 5690 10450 8539 1911 48 81 NA 114255  X*
84 92.0 274717 26868 5731 9419 11595 2023 948 505 34 78 NA 331806  X*
85 93.0 232006 30350 18314 10102 5773 2053 933 766 23 69 NA 300297  X*
86 94.0 232353 63924 15830 47111 7052 20401 8871 5151 37 61 NA 400693  X*
87 95.0 41530 35560 17785 16061 32877 13500 5772 1898 35 51 NA 164983  X*
88 96.0 235034 10152 5105 7307 7328 2402 1278 264 43 57 NA 268870  X*
89 97.0 15083 9142 10844 25160 7176 5085 3916 5076 54 67 NA 81482  X*
90 98.0 33689 33922 41832 23362 10989 12647 5839 4275 53 74 NA 166555  X*
91 99.0 15203 6662 1957 7249 9263 4356 9818 1029 56 74 NA 55537  X*
92 100.0 25634 6587 9395 7582 8628 7914 3474 4710 69 75 NA 73924  X*
93 101.0 541542 45199 17944 7370 14532 3432 2061 2755 61 56 NA 634835  X*
94 102.0 85613 66889 26044 24831 7971 13854 1976 1628 61 50 NA 228806  X*
95 103.0 7571 5742 17357 41883 6693 5782 9205 5790 48 70 NA 100023  X*
96 104.0 117132 15370 11574 19334 11888 4935 1766 901 35 74 NA 182900  X*
97 105.0 19956 5986 3264 5487 2001 1930 902 642 47 83 NA 40168  X*
98 106.0 15656 6837 16014 26208 5927 7636 6072 3272 50 97 NA 87622  X*
99 107.0 37102 43410 6395 3348 35090 10344 4621 4288 60 60 NA 144598  X*
100 108.0 28579 26539 30769 10104 17670 8454 3865 4924 61 56 NA 130904  X*
101 109.0 19106 8498 46561 16801 7387 8057 6539 4422 60 69 NA 117371  X*
102 110.0 67278 42380 28084 52965 30597 22410 3398 2747 60 57 NA 249859  X*
103 111.0 452363 92994 33833 123386 96897 42508 7209 6661 57 78 NA 855851  X*
104 112.0 589520 286594 41690 26528 23348 13862 4102 2897 44 64 NA 988541  X*
105 113.0 21289 30066 3740 89272 31110 12612 3093 2698 43 54 NA 193880  X*
106 114.0 4899 16147 5037 13918 7791 6964 1743 2675 44 50 NA 59174  X*
107 115.0 122110 5628 2964 2041 3859 1705 891 446 44 47 NA 139644  X*
108 116.0 70068 15085 20674 4435 4969 10914 5812 2622 64 60 NA 134579  X*
109 117.0 624288 46744 32321 20675 91619 11818 4695 4024 67 44 NA 836184  X*
110 118.0 79443 29963 20882 44330 9490 12080 2176 3942 63 54 NA 202306  X*
111 119.0 51475 50000 4163 4481 3115 4132 1798 864 54 41 NA 120028  X*
112 120.0 32913 17726 17041 7684 7698 9605 3108 2639 53 41 NA 98414  X*
# EndBaseline:  3/9/2022 -- 2:42 PM: obs 112
113 121.0 103051 13376 11442 6712 3342 2645 488 909 48 53 NA 141965  X
114 122.0 836944 20466 3435 24428 12766 13947 9739 17101 57 44 NA 938826  X
115 123.0 646529 44120 28989 20524 27850 14307 8976 5948 64 60 NA 797243  X
116 124.0 9743 14426 15790 11588 8380 8508 7533 2792 64 61 NA 78760  X
117 125.0 49226 9119 11848 41310 5573 14670 2204 2720 77 67 NA 136670  X
118 126.0 926509 19880 1688 5390 2954 1398 1233 1728 56 60 NA 960780  X
119 127.0 818683 49243 9503 20783 5254 8947 3565 4554 53 56 NA 920532  X
