# neuroc1 3/9/2022 2:32 PM
time Delta Theta Alpha1 Alpha2 Beta1 Beta2 Gamma1 Gamma2 Attention Meditation Derived totPwr  class 
# LogStarts: HEAD_SET 3/9/2022 -- 2:32 PM: obs 0
# StartBaseline:  3/9/2022 -- 2:32 PM: obs 0
1 2.9 667222 151532 195624 71277 11647 32194 46103 11225 NA NA NA 1186824  X*
2 3.9 207424 28230 4588 5704 2520 3593 5234 1871 NA NA NA 259164  X*
3 4.9 129021 15974 5415 4409 3365 7966 4334 1770 NA NA NA 172254  X*
4 5.9 575960 59327 24934 47668 40645 18585 14067 7351 38 40 NA 788537  X*
5 6.9 33759 45394 6135 28506 21222 36456 16658 17439 56 35 NA 205569  X*
6 7.9 2030564 276977 109172 21003 55792 17578 22687 13820 40 29 NA 2547593  X*
7 8.9 296838 52459 522 1973 6208 4876 4063 2463 34 11 NA 369402  X*
8 9.9 587261 66642 5002 15914 4906 8667 5186 4133 29 10 NA 697711  X*
9 10.9 82265 51029 20945 4728 23225 14651 13423 12271 16 16 NA 222537  X*
10 11.9 635115 62214 11277 28880 34099 17397 10368 4857 37 24 NA 804207  X*
11 12.9 8411 12874 1601 4170 7885 15949 9072 5118 66 38 NA 65080  X*
12 13.9 3892 10882 3476 6104 8576 5183 6830 1829 80 40 NA 46772  X*
13 14.9 10002 5096 7577 11587 3090 8399 5594 1651 88 53 NA 52996  X*
14 15.9 13036 6391 6091 3029 6771 4864 4025 3719 93 54 NA 47926  X*
15 16.9 2499 7714 3812 4182 4644 10243 3243 1479 91 63 NA 37816  X*
16 17.9 11296 1569 7121 4970 4358 8298 4542 3722 100 69 NA 45876  X*
17 18.9 9959 15622 6608 15456 5670 8294 5756 4308 96 66 NA 71673  X*
18 19.9 149133 41487 3752 2677 7574 4675 2787 1869 81 53 NA 213954  X*
19 20.9 1441494 182200 25428 34365 13627 16944 9976 12971 51 51 NA 1737005  X*
20 21.9 46944 28562 1601 5437 10218 12149 6590 9726 41 35 NA 121227  X*
21 22.9 12587 18719 3720 3241 5724 5062 14691 7939 38 23 NA 71683  X*
22 23.9 95000 63433 4694 161 640 6634 1041 2061 37 17 NA 173664  X*
23 24.9 9430 5571 2175 8874 13621 8269 14364 10813 63 21 NA 73117  X*
