# neuroc1 3/9/2022 2:47 PM
time Delta Theta Alpha1 Alpha2 Beta1 Beta2 Gamma1 Gamma2 Attention Meditation Derived totPwr  class 
# LogStarts: HEAD_SET 3/9/2022 -- 2:47 PM: obs 0
# StartBaseline:  3/9/2022 -- 2:47 PM: obs 0
1 7.0 108478 149726 11487 20354 6944 10647 13047 6072 NA NA NA 326755  X*
2 8.0 863641 243242 120488 115235 60217 13055 43327 19354 37 54 NA 1478559  X*
3 9.0 906293 234361 70194 22999 38257 19428 17923 19301 37 54 NA 1328756  X*
4 10.0 1772718 590141 100487 93327 19795 17416 13918 4072 17 51 NA 2611874  X*
5 14.0 1407320 59110 9405 15978 7497 7272 5124 2861 13 44 NA 1514567  X*
6 15.0 59589 68569 14474 7469 4852 22208 23596 4108 54 27 NA 204865  X*
7 16.0 1593575 64571 27601 23077 13524 16992 13820 8976 69 35 NA 1762136  X*
8 17.0 152976 30673 7093 6423 4904 9341 13401 6089 100 37 NA 230900  X*
9 18.0 331758 152986 19149 28233 9923 28161 34836 34427 100 34 NA 639473  X*
10 19.0 234483 23163 4089 939 6529 5494 3790 6916 100 26 NA 285403  X*
11 20.0 105275 9407 18560 1046 2552 7571 3437 11869 100 35 NA 159717  X*
12 21.0 218350 29034 8297 3808 2867 4432 6764 5246 100 35 NA 278798  X*
13 22.0 172127 14703 4278 1838 4513 6309 2584 4518 100 34 NA 210870  X*
14 23.0 125007 77512 26328 8768 33824 32927 38696 14435 100 41 NA 357497  X*
15 24.0 14424 6235 1574 3475 1834 6397 7949 3891 100 26 NA 45779  X*
16 25.0 10648 6612 16379 9349 12356 17192 13774 19881 100 37 NA 106191  X*
17 26.0 8856 36973 21893 22938 14256 54406 10713 14395 100 44 NA 184430  X*
18 27.0 1138975 305258 41523 33135 16840 46875 23735 22144 100 43 NA 1628485  X*
19 28.0 1780721 187483 31522 110847 30030 23808 25566 17445 83 51 NA 2207422  X*
